ユニット名,"上位ユニット
完全名","ユニット
種別",位置情報,, サイズ ,,コメント,先行,"接続
種別","実行
エージェント","実行順序
制御","多重
起動","保存
世代数","優先
順位","上位のジョブネットに
依存する",有効範囲,"ジョブ
グループ名","排他
ジョブネット名","リンクする
ルール番号","開始
時刻","処理
サイクル",遅延監視,,起動条件,コマンド文
SLPRN_SLP_007_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_01,j,13,7,,,add-partition-for-t_facing_color_setting,SLPRN_SLP_007_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_007_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_007_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_01,j,13,2,,,drop-partition-for-t_facing_color_setting,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_007_D -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_008_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_01,j,15,7,,,add-partition-for-w_trans_store_code_history,SLPRN_SLP_008_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_008_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_008_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_01,j,15,2,,,drop-partition-for-w_trans_store_code_history,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_008_D -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_009_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_01,j,17,7,,,add-partition-for-m_business_code_history,SLPRN_SLP_009_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_009_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_009_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_01,j,17,2,,,drop-partition-for-m_business_code_history,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_009_D -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_010_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_01,j,19,7,,,add-partition-for-m_dept_gdept_history,SLPRN_SLP_010_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_010_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_010_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_01,j,19,2,,,drop-partition-for-m_dept_gdept_history,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_010_D -e BATCH_PROCESS_TARGET=""1/01"""
SLP01N_PARTITION_ABOLISH_02,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH,n,3,6,100,100,reorg_rule_code_from_11_to_20,SLP01N_PARTITION_ABOLISH_01,seq,pajsm21,しない,n,1,,y,,,,,,,,,,
SLPRN_SLP_011_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_02,j,1,8,,,add-partition-for-m_itemlist_header_history,SLPRN_SLP_011_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_011_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_011_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_02,j,1,2,,,drop-partition-for-m_itemlist_header_history,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_011_D -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_012_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_02,j,3,8,,,add-partition-for-m_itemlist_detail_history,SLPRN_SLP_012_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_012_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_012_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_02,j,3,2,,,drop-partition-for-m_itemlist_detail_history,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_012_D -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_013_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_02,j,5,8,,,add-partition-for-m_sales_sum_history,SLPRN_SLP_013_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_013_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_013_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_02,j,5,2,,,drop-partition-for-m_sales_sum_history,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_013_D -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_014_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_02,j,7,8,,,add-partition-for-m_representative_sku_history,SLPRN_SLP_014_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_014_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_014_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_02,j,7,2,,,drop-partition-for-m_representative_sku_history,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_014_D -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_015_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_02,j,9,8,,,add-partition-for-m_item_package_history,SLPRN_SLP_015_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_015_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_015_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_02,j,9,2,,,drop-partition-for-m_item_package_history,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_015_D -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_016_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_02,j,11,8,,,add-partition-for-m_packaged_item_history,SLPRN_SLP_016_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_016_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_016_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_02,j,11,2,,,drop-partition-for-m_packaged_item_history,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_016_D -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_017_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_02,j,13,8,,,add-partition-for-m_item_level_1_history,SLPRN_SLP_017_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_017_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_017_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_02,j,13,2,,,drop-partition-for-m_item_level_1_history,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_017_D -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_018_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_02,j,15,8,,,add-partition-for-m_item_level_3_history,SLPRN_SLP_018_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_018_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_018_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_02,j,15,2,,,drop-partition-for-m_item_level_3_history,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_018_D -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_019_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_02,j,17,8,,,add-partition-for-m_l3_item_for_view_history,SLPRN_SLP_019_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_019_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_019_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_02,j,17,2,,,drop-partition-for-m_l3_item_for_view_history,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_019_D -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_020_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_02,j,19,8,,,add-partition-for-m_base_price_change_setting_history,SLPRN_SLP_020_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_020_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_020_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_02,j,19,2,,,drop-partition-for-m_base_price_change_setting_history,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_020_D -e BATCH_PROCESS_TARGET=""1/01"""
SLP01N_PARTITION_ABOLISH_03,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH,n,3,10,100,100,reorg_rule_code_from_21_to_30,SLP01N_PARTITION_ABOLISH_02,seq,pajsm21,しない,n,1,,y,,,,,,,,,,
SLPRN_SLP_021_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_03,j,1,9,,,add-partition-for-m_color_history,SLPRN_SLP_021_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_021_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_021_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_03,j,1,2,,,drop-partition-for-m_color_history,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_021_D -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_022_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_03,j,3,9,,,add-partition-for-m_size_history,SLPRN_SLP_022_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_022_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_022_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_03,j,3,2,,,drop-partition-for-m_size_history,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_022_D -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_023_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_03,j,5,9,,,add-partition-for-m_pattern_length_history,SLPRN_SLP_023_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_023_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_023_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_03,j,5,2,,,drop-partition-for-m_pattern_length_history,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_023_D -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_024_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_03,j,7,9,,,add-partition-for-t_weekly_top_sales_result_by_location_and_rep_sku,SLPRN_SLP_024_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_024_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_024_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_03,j,7,2,,,drop-partition-for-t_weekly_top_sales_result_by_location_and_rep_sku,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_024_D -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_025_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_03,j,9,9,,,add-partition-for-m_item_attribute,SLPRN_SLP_025_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_025_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_025_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_03,j,9,2,,,drop-partition-for-m_item_attribute,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_025_D -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_026_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_03,j,11,9,,,add-partition-for-m_weekly_item_attribute_by_store_by_sales_sum,SLPRN_SLP_026_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_026_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_026_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_03,j,11,2,,,drop-partition-for-m_weekly_item_attribute_by_store_by_sales_sum,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_026_D -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_027_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_03,j,13,9,,,add-partition-for-m_weekly_item_attribute_by_store_by_rep_sku,SLPRN_SLP_027_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_027_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_027_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_03,j,13,2,,,drop-partition-for-m_weekly_item_attribute_by_store_by_rep_sku,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_027_D -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_028_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_03,j,15,9,,,add-partition-for-t_warehouse_inventory,SLPRN_SLP_028_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_028_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_028_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_03,j,15,2,,,drop-partition-for-t_warehouse_inventory,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_028_D -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_029_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_03,j,17,9,,,add-partition-for-m_item_attribute_history,SLPRN_SLP_029_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_029_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_029_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_03,j,17,2,,,drop-partition-for-m_item_attribute_history,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_029_D -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_030_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_03,j,19,9,,,add-partition-for-m_item_code_link_history,SLPRN_SLP_030_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_030_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_030_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_03,j,19,2,,,drop-partition-for-m_item_code_link_history,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_030_D -e BATCH_PROCESS_TARGET=""1/01"""
SLP01N_PARTITION_ABOLISH_04,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH,n,3,14,100,100,reorg_rule_code_from_31_to_40,SLP01N_PARTITION_ABOLISH_03,seq,pajsm21,しない,n,1,,y,,,,,,,,,,
SLPRN_SLP_031_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_04,j,1,9,,,add-partition-for-m_l2_item_image_history,SLPRN_SLP_031_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_031_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_031_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_04,j,1,2,,,drop-partition-for-m_l2_item_image_history,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_031_D -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_032_A,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_04,j,3,9,,,add-partition-for-m_store_history,SLPRN_SLP_032_D,seq,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_032_A -e BATCH_PROCESS_TARGET=""1/01"""
SLPRN_SLP_032_D,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_PARTION_ABOLISH/SLP01N_PARTITION_ABOLISH_04,j,3,2,,,drop-partition-for-m_store_history,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m update-partition -e REORG_RULE_CODE=SLP_032_D -e BATCH_PROCESS_TARGET=""1/01"""
